sn,species,lab_no,sex,pref_age,pref_status,blank_space,postf_age,postf_status,blanck,ageC,statusC,blanck,year,nest_ID,lay_date,Chick_trivial_ID,Ring_ID,site,Relative_hatch_order,hatch_order,age_diff,clutch_size,brood_size,No_fledgelings,Fledged?,Fledge_age,Fledge_mass,Fledge_tarsus,Fledge_FS,Fledge_FSO,blanck,ID_Bio_mom,ID_Bio_dad,paternity_text,paternity,Fledged,got_sender,Excluded_from_sendered,Last_recorded_age_days,Final_status,Details_about_final_status,Issues
78,BC,WG06_209,F,12,0,,NA,NA,,12,0,,2002,2002_14,78,"BC40 BC Nest chick 3 li 2, 3",,Kapunga,0.8,3,2,4,4,4,Yes,12,85,31.4,44,30,,WG06_129,WG06_159,WPO,0,Yes,No,,12,Censored,,
79,BC,WG06_210,F,12,0,,NA,NA,,12,0,,2002,2002_14,78,"BC41 BC Nest chick 4 li 2, 3",,Kapunga,1,4,3,4,4,4,Yes,12,81,29.4,41,18,,WG06_129,WG06_159,WPO,0,Yes,No,,12,Censored,,
80,BC,WG06_236,M,11,0,,NA,NA,,11,0,,2002,2002_14,78,BC#1 chick,,Kapunga,0.2,1,0,4,4,4,Yes,11,56,25.8,31,0,,WG06_129,WG06_159,WPO,0,Yes,No,,11,Censored,,
81,BC,WG06_237,F,12,0,,NA,NA,,12,0,,2002,2002_14,78,BC#2 chick,,Kapunga,0.4,2,1,4,4,4,Yes,12,75,32.4,47,30,,WG06_129,WG06_159,WPO,0,Yes,No,,12,Censored,,
82,BC,WG06_201,F,16,0,,NA,NA,,16,0,,2002,2002_15,68,C 32 GN 44371 chick 3 C11/12,GN 44371,Kapunga,0.6,3,2,5,5,4,Yes,16,92,31.4,44,12,,BC#10,WG06_155,WPO,0,Yes,No,,16,Censored,,
83,BC,WG06_202,M,15,0,,NA,NA,,15,0,,2002,2002_15,68,C 33 chick 4 C11/12/4315 (?),GN 44379,Kapunga,0.8,4,3,5,5,4,Yes,15,63,29.3,36,10,,BC#10,WG06_155,WPO,0,Yes,No,,15,Censored,,
84,BC,WG06_203,F,16,1,,NA,NA,,16,1,,2002,2002_15,68,C34 chick 5 C11/12 ...?,GN 44381,Kapunga,1,5,6,5,5,4,No,NA,NA,NA,NA,NA,,BC#10,BC*8,EPO,1,No,No,,16,dead,starved after nestmates had left the nest,
85,BC,WG06_234,F,15,0,,NA,NA,,15,0,,2002,2002_15,68,C30-2 GN 44369 chick 1 C11/12,GN 44369,Kapunga,0.2,1,0,5,5,4,Yes,15,81,30.3,37,0,,BC#10,WG06_155,WPO,0,Yes,No,,15,Censored,,
86,BC,WG06_235,M,15,0,,NA,NA,,15,0,,2002,2002_15,68,C31-2 GN 44375 chick 2 D11/12,GN 44375,Kapunga,0.4,2,1,5,5,4,Yes,15,68,29.7,40,11,,BC#10,WG06_155,WPO,0,Yes,No,,15,Censored,,
87,BC,WG06_204,F,14,0,,NA,NA,,14,0,,2002,2002_16,75,C35 chick 1 D12 N8352,,Kapunga,0.8,3,2,4,4,4,Yes,14,75,29.5,29,10,,WG06_134,WG06_158,WPO,0,yes,No,,14,Censored,,
88,BC,WG06_205,M,13,0,,NA,NA,,13,0,,2002,2002_16,75,"C36 D12 N8352 chick 2 li 1, 4 C44",,Kapunga,0.4,2,1,4,4,4,Yes,13,60,28.2,29,10,,WG06_134,WG06_158,WPO,0,yes,No,,13,Censored,,
89,BC,WG06_206,F,13,0,,NA,NA,,13,0,,2002,2002_16,75,"C37 D12 Nest 2 chick 3 re 2, 3",,Kapunga,1,4,3,4,4,4,Yes,13,50,24.6,22,0,,WG06_134,WG06_158,WPO,0,Yes,No,,13,Censored,,
90,BC,WG06_207,F,14,0,,NA,NA,,14,0,,2002,2002_16,75,"C38 D12 chick 4 li 2, 3",,Kapunga,0.2,1,0,4,4,4,Yes,14,73,28.8,35,0,,WG06_134,WG06_158,WPO,0,yes,No,,14,Censored,,
91,BC,WG06_212,F,13,0,,NA,NA,,13,0,,2002,2002_17,80,C43 Nest D8/9 chick,,Kapunga,0.2,1,0,4,1,1,Yes,13,86,29,33.5,10,,WG06_146,WG06_160,WPO,0,yes,No,,13,Censored,,
92,BC,WG06_214,M,12,1,,NA,NA,,12,1,,2002,2002_18,81,"C45 D13/14 Nest chick 1 re 1, 4",,Kapunga,0.2,1,0,4,4,0,No,NA,NA,NA,NA,NA,,WG06_131,BC*9,WPO,0,No,No,,12,dead,predated,
93,BC,WG06_215,M,10,1,,NA,NA,,10,1,,2002,2002_18,81,"C46 D13/14 Nest chick 2 li 1, 4",,Kapunga,0.8,3,2,4,4,0,No,NA,NA,NA,NA,NA,,WG06_131,BC*9,WPO,0,No,No,,10,dead,predated,
94,BC,WG06_216,M,11,1,,NA,NA,,11,1,,2002,2002_18,81,"C47 D13/14 nat chick re 2, 3",,Kapunga,0.4,2,1,4,4,0,No,NA,NA,NA,NA,NA,,WG06_131,BC*9,WPO,0,No,No,,11,dead,predated,
95,BC,WG06_219,F,7,1,,NA,NA,,7,1,,2002,2002_18,81,"C50 D13/14 nat chick 4 li, 2, 3",,Kapunga,1,4,5,4,4,0,No,NA,NA,NA,NA,NA,,WG06_131,BC*7,EPO,1,No,No,,7,dead,predated,
96,BC,WG06_229,M,12,0,,NA,NA,,12,1,,2002,2002_19,94,C60 YBS chick 1,,Kapunga,0.2,1,0,7,5,2,Yes,12,64,26.2,22,0,,BC#9,WG06_128,WPO,0,No,No,,12,dead,predated,
97,BC,WG06_230,F,11,0,,NA,NA,,11,1,,2002,2002_19,94,C61 YBS chick 2,,Kapunga,0.4,2,0,7,5,2,Yes,11,71,24.9,20,0,,BC#9,WG06_128,WPO,0,No,No,,11,dead,predated,
